,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
238,XIAFLEX,adverse reactions,discontinuous,9,83,1,,8,,0.1111111111111111,
239,XIAFLEX,warnings and precautions,all,34,38,13,25.0,21,0.34210526315789475,0.38235294117647056,0.3611111111111111
240,XIAFLEX,warnings and precautions,exact-meddra,13,38,12,,1,,0.9230769230769231,
241,XIAFLEX,warnings and precautions,non-meddra,21,38,1,,20,,0.047619047619047616,
242,XIAFLEX,warnings and precautions,discontinuous,8,38,1,,7,,0.125,
243,XIAFLEX,boxed warnings,all,8,8,1,7.0,7,0.125,0.125,0.125
244,XIAFLEX,boxed warnings,exact-meddra,1,8,1,,0,,1.0,
245,XIAFLEX,boxed warnings,non-meddra,7,8,0,,7,,0.0,
246,XIAFLEX,boxed warnings,discontinuous,2,8,1,,1,,0.5,
247,XIAFLEX,all-concat,all,95,96,55,41.0,40,0.5729166666666666,0.5789473684210527,0.5759162303664922
248,XIAFLEX,all-concat,exact-meddra,55,96,54,,1,,0.9818181818181818,
249,XIAFLEX,all-concat,non-meddra,40,96,1,,39,,0.025,
250,XIAFLEX,all-concat,negated,1,96,0,,1,,0.0,
251,XIAFLEX,all-concat,discontinuous,15,96,1,,14,,0.06666666666666667,
252,XEOMIN,adverse reactions,all,46,69,37,32.0,9,0.5362318840579711,0.8043478260869565,0.6434782608695652
253,XEOMIN,adverse reactions,exact-meddra,40,69,37,,3,,0.925,
254,XEOMIN,adverse reactions,non-meddra,6,69,0,,6,,0.0,
255,XEOMIN,adverse reactions,negated,1,69,1,,0,,1.0,
256,XEOMIN,adverse reactions,discontinuous,5,69,0,,5,,0.0,
257,XEOMIN,warnings and precautions,all,35,61,19,42.0,16,0.3114754098360656,0.5428571428571428,0.39583333333333337
258,XEOMIN,warnings and precautions,exact-meddra,16,61,14,,2,,0.875,
259,XEOMIN,warnings and precautions,non-meddra,19,61,5,,14,,0.2631578947368421,
260,XEOMIN,warnings and precautions,discontinuous,5,61,1,,4,,0.2,
261,XEOMIN,boxed warnings,all,16,20,10,10.0,6,0.5,0.625,0.5555555555555556
262,XEOMIN,boxed warnings,exact-meddra,10,20,10,,0,,1.0,
263,XEOMIN,boxed warnings,non-meddra,6,20,0,,6,,0.0,
264,XEOMIN,boxed warnings,discontinuous,1,20,0,,1,,0.0,
265,XEOMIN,all-concat,all,81,115,53,62.0,28,0.4608695652173913,0.654320987654321,0.5408163265306122
266,XEOMIN,all-concat,exact-meddra,53,115,48,,5,,0.9056603773584906,
267,XEOMIN,all-concat,non-meddra,28,115,5,,23,,0.17857142857142858,
268,XEOMIN,all-concat,negated,1,115,1,,0,,1.0,
269,XEOMIN,all-concat,discontinuous,10,115,1,,9,,0.1,
270,GILOTRIF,adverse reactions,all,49,73,42,31.0,7,0.5753424657534246,0.8571428571428571,0.6885245901639344
